,Unnamed: 0,label
0,0,0
1,1,15
2,2,16
3,3,15
4,4,16
5,5,17
6,6,0
7,7,0
8,8,15
9,9,0
10,10,14
11,11,16
12,12,15
13,13,14
14,14,15
15,15,15
16,16,15
17,17,14
18,18,18
19,19,15
20,20,17
21,21,16
22,22,14
23,23,15
24,24,18
25,25,15
26,26,15
27,27,16
28,28,15
29,29,17
30,30,14
31,31,17
32,32,16
33,33,0
34,34,0
35,35,58
36,36,16
37,37,14
38,38,0
39,39,18
40,40,16
41,41,17
42,42,16
43,43,15
44,44,18
45,45,16
46,46,15
47,47,14
48,48,18
49,49,14
50,50,16
51,51,15
52,52,16
53,53,0
54,54,14
55,55,16
56,56,58
57,57,15
58,58,17
59,59,0
60,60,58
61,61,14
62,62,15
63,63,15
64,64,15
65,65,16
66,66,18
67,67,14
68,68,15
69,69,16
70,70,17
71,71,14
72,72,16
73,73,14
74,74,16
75,75,16
76,76,58
77,77,19
78,78,58
79,79,58
80,80,58
81,81,16
82,82,0
83,83,15
84,84,14
85,85,15
86,86,0
87,87,0
88,88,16
89,89,16
90,90,15
91,91,16
92,92,58
93,93,14
94,94,15
95,95,16
96,96,18
97,97,16
98,98,16
99,99,0
100,100,0
101,101,16
102,102,15
103,103,15
104,104,15
105,105,15
106,106,17
107,107,19
108,108,19
109,109,16
110,110,19
111,111,15
112,112,16
113,113,15
114,114,0
115,115,16
116,116,15
117,117,15
118,118,15
119,119,15
120,120,16
121,121,15
122,122,0
123,123,15
124,124,16
125,125,14
126,126,14
127,127,15
128,128,0
129,129,58
130,130,0
131,131,19
132,132,16
133,133,15
134,134,14
135,135,15
136,136,15
137,137,16
138,138,0
139,139,15
140,140,17
141,141,0
142,142,16
143,143,14
144,144,0
145,145,0
146,146,15
147,147,16
148,148,16
149,149,15
150,150,16
151,151,14
152,152,17
153,153,14
154,154,15
155,155,14
156,156,15
157,157,14
158,158,16
159,159,14
160,160,0
161,161,15
162,162,16
163,163,15
164,164,14
165,165,0
166,166,16
167,167,15
168,168,14
169,169,0
170,170,16
171,171,15
172,172,16
173,173,58
174,174,0
175,175,14
176,176,15
177,177,0
178,178,16
179,179,16
180,180,14
181,181,17
182,182,14
183,183,0
184,184,0
185,185,58
186,186,15
187,187,14
188,188,17
189,189,14
190,190,17
191,191,14
192,192,14
193,193,14
194,194,14
195,195,17
196,196,14
197,197,19
198,198,14
199,199,14
200,200,18
201,201,0
202,202,14
203,203,14
204,204,14
205,205,17
206,206,0
207,207,0
208,208,19
209,209,19
210,210,14
211,211,0
212,212,0
213,213,15
214,214,19
215,215,0
216,216,18
217,217,16
218,218,58
219,219,15
220,220,15
221,221,16
222,222,14
223,223,14
224,224,0
225,225,17
226,226,0
227,227,0
228,228,15
229,229,16
230,230,17
231,231,14
232,232,16
233,233,14
234,234,15
235,235,58
236,236,17
237,237,16
238,238,0
239,239,16
240,240,14
241,241,14
242,242,16
243,243,15
244,244,15
245,245,18
246,246,18
247,247,15
248,248,14
249,249,0
250,250,0
251,251,0
252,252,17
253,253,16
254,254,16
255,255,0
256,256,19
257,257,16
258,258,15
259,259,17
260,260,16
261,261,0
262,262,15
263,263,0
264,264,16
265,265,15
266,266,16
267,267,0
268,268,19
269,269,16
270,270,16
271,271,16
272,272,14
273,273,14
274,274,19
275,275,15
276,276,18
277,277,14
278,278,16
279,279,16
280,280,15
281,281,0
282,282,18
283,283,14
284,284,15
285,285,15
286,286,0
287,287,16
288,288,19
289,289,18
290,290,14
291,291,0
292,292,14
293,293,14
294,294,16
295,295,17
296,296,14
297,297,16
298,298,17
299,299,15
300,300,0
301,301,19
302,302,14
303,303,19
304,304,18
305,305,17
306,306,18
307,307,15
308,308,14
309,309,16
310,310,16
